GVhel	mag	l_mag	Type
 41971	21.8	>	Ia
 34176	20.4	>	Ia
 20985	21.9	>	Ia
 74948	22.6	>	Ia
  5169	15.9	>	Ia
  6540	15.4	>	Ia
 11700	18.0	>	Ia
  8496	18.0	>	Ia
 13490	18.2	>	Ia
  6017	16.9	>	Ia
  7017	16.7	>	Ia
  5079	16.7	>	Ia
  9593	17.1	>	Ia
  5996	15.6	>	Ia
  6845	16.1	=	Ia
  8994	17.0	>	Ia
 10493	16.2	>	Ia
 11104	16.9	>	Ia
  8994	16.7	>	Ia
  7559	16.8	>	Ia
  9244	19.2	>	Ia
 41970	19.5	>	Ia
 16189	18.4	>	Ia
 21885	19.1	>	Ia
 10068	17.2	>	Ia
 26682	19.9	>	Ia
 27881	19.6	>	Ia
 14990	17.7	>	Ia
  7972	16.7	>	Ia
  7495	17.0	>	Ia
  5927	16.2	>	Ia
  9978	17.0	>	Ia
 20086	18.3	>	Ia
  4211	17.5	>	Ia
  1914	13.4	>	Ia
  9003	16.7	>	Ia
  7651	17.6	>	Ia
 10804	18.2	>	Ia
  5332	17.2	>	Ia
  4708	15.7	>	Ia
 19487	18.8	>	Ia
 14397	17.4	>	Ia
 17911	17.4	>	Ia
149896	23.3	>	Ia
 71950	20.4	>	Ia
 74948	22.2	>	Ia
131909	22.4	>	Ia
140902	22.2	>	Ia
104927	22.3	>	Ia
 86940	21.5	>	Ia
110923	22.4	>	Ia
134907	22.6	>	Ia
 10088	17.8	>	Ia
  5313	15.6	>	Ia
  3899	15.6	>	Ia
 12892	17.6	>	Ia
  5379	18.2	>	Ia
 10328	18.1	>	Ia
  6430	17.5	>	Ia
  7691	16.3	>	Ia
  4694	16.4	>	Ia
  7649	18.1	>	Ia
 11602	18.1	>	Ia
 22594	17.5	>	Ia
  4172	17.7	>	Ia
 11992	17.1	>	Ia
 14990	18.6	>	Ia
 22484	18.0	>	Ia
  1680	12.5	>	Ia
  2142	14.3	>	Ia
  6047	16.7	>	Ia
  8857	17.2	>	Ia
 16690	17.6	>	Ia
  1703	17.6	>	Ia
  5511	17.8	>	Ia
  7115	16.6	>	Ia
 52463	23.0	>	Ia
  6401	17.7	>	Ia
  7531	17.2	>	Ia
 12320	16.4	>	Ia
 10285	17.1	>	Ia
  7668	18.8	>	Ia
 14453	17.7	>	Ia
 12483	16.5	>	Ia
 59958	20.9	>	Ia
179876	23.1	>	Ia
 29979	22.5	>	Ia
119917	22.4	>	Ia
149896	22.9	>	Ia
 89937	20.8	>	Ia
149896	22.8	>	Ia
 59958	19.8	>	Ia
 89938	21.9	>	Ia
119917	22.0	>	Ia
119917	22.0	>	Ia
 59958	21.6	>	Ia
119917	22.2	>	Ia
 89938	22.6	>	Ia
 89938	22.7	>	Ia
  4906	16.0	>	Ia
  4998	18.0	>	Ia
 10003	18.1	>	Ia
  9050	16.7	>	Ia
  2215	14.3	>	Ia
  7805	16.6	>	Ia
  7495	17.5	>	Ia
 59958	20.3	>	Ia
 89938	21.0	>	Ia
 89938	21.8	>	Ia
 59958	21.3	>	Ia
119917	21.7	>	Ia
179876	22.1	>	Ia
179876	22.6	>	Ia
119917	22.0	>	Ia
149896	22.2	>	Ia
179876	22.8	>	Ia
239834	22.9	>	Ia
239834	23.4	>	Ia
 15110	18.5	>	Ia
  5425	15.8	>	Ia
 10494	17.0	>	Ia
179876	22.7	>	Ia
119917	22.1	>	Ia
149896	22.7	>	Ia
149896	22.8	>	Ia
119917	22.1	>	Ia
119917	22.8	>	Ia
179876	23.2	>	Ia
119917	22.5	>	Ia
179876	22.9	>	Ia
  7271	15.9	>	Ia
 13011	16.5	>	Ia
 11351	18.5	>	Ia
  4692	17.8	>	Ia
  8936	16.1	>	Ia
  9497	17.6	>	Ia
  7495	17.5	>	Ia
 10832	17.1	>	Ia
  9686	16.8	>	Ia
 14990	17.9	>	Ia
  7120	16.3	>	Ia
  2731	16.0	>	Ia
  1117	18.8	>	Ia
 20746	18.5	>	Ia
  1741	14.7	>	Ia
  4534	16.9	>	Ia
143900	23.3	>	Ia
 74049	22.3	>	Ia
  7177	16.5	>	Ia
 18107	18.3	>	Ia
  9300	17.2	>	Ia
  6935	17.2	>	Ia
